drug_name,drug_id,disease_name,disease_id
sulfamethoxazole,CHEBI:9332,Haemophilus influenzae otitis media,UMLS:C0276027
phenytoin,CHEBI:8107,epilepsy,MONDO:0005027
chlorhexidine,CHEBI:3614,gingivitis,MONDO:0002508
meclofenamic acid,CHEBI:6710,Pain,HP:0012531
oxacillin,CHEBI:7809,sinusitis,MONDO:0005961
lenvatinib,CHEBI:85994,Primary thymic carcinoma,UMLS:C4302369
icatibant,CHEBI:68556,hereditary angioedema,MONDO:0019623
cortisol,CHEBI:5783,uveitis,MONDO:0020283
carbinoxamine,CHEBI:3398,seasonal allergic rhinitis,MONDO:0005324
salicylic acid,CHEBI:16914,allergic rhinitis,MONDO:0011786
betamethasone,CHEBI:3077,idiopathic acute eosinophilic pneumonia,MONDO:0019122
cimetidine,CHEBI:3699,Upper gastrointestinal hemorrhage,UMLS:C0041909
ceftizoxime,CHEBI:553473,Proteus pneumonia,UMLS:C1260917
butamben,CHEBI:3231,Pruritus,HP:0000989
diclofenac,CHEBI:47381,"Neck, shoulder and arm syndrome",UMLS:C0877543
progesterone,CHEBI:17026,Metastatic malignant neoplasm to kidney,UMLS:C0153685
azelaic acid,CHEBI:48131,acne,MONDO:0011438
ruxolitinib,CHEBI:66919,acquired polycythemia vera,MONDO:0009891
ofloxacin,CHEBI:194135,Proteus urinary tract infection,UMLS:C0577709
tolvaptan,CHEBI:231425,Hyponatremia,HP:0002902
efavirenz,CHEBI:119486,HIV infectious disease,MONDO:0005109
clavulanic acid,CHEBI:48947,bacterial urinary tract infection,MONDO:0005247
verapamil,CHEBI:77733,hypertensive disorder,MONDO:0005044
cinnarizine,CHEBI:31403,Nausea,HP:0002018
ergotamine,CHEBI:64318,migraine disorder,MONDO:0005277
rivastigmine,CHEBI:8874,Alzheimer disease,MONDO:0004975
valacyclovir,CHEBI:35854,chickenpox,MONDO:0005700
fenoldopam,CHEBI:5002,Hypertensive Urgency,UMLS:C0745138
loracarbef,CHEBI:47544,chronic pyelonephritis,MONDO:0001110
celecoxib,CHEBI:41423,osteoarthritis,MONDO:0005178
lurasidone,CHEBI:70735,bipolar disorder,MONDO:0004985
acamprosate,CHEBI:51041,alcohol dependence,MONDO:0007079
cortisol,CHEBI:5783,aspiration pneumonitis,MONDO:0002572
cefmetazole,CHEBI:3489,bacterial urinary tract infection,MONDO:0005247
(-)-noradrenaline,CHEBI:18357,bronchiectasis,MONDO:0004822
cortisol,CHEBI:5783,thyroiditis,MONDO:0004126
azithromycin,CHEBI:2955,hordeolum,MONDO:0005800
nintedanib,UNII:G6HRD2P839,interstitial lung disease,MONDO:0015925
carbinoxamine,CHEBI:3398,atopic conjunctivitis,MONDO:0005642
tiquizium,CHEBI:145714,Abdominal pain,HP:0002027
phenylephrine,CHEBI:8093,Red eye,HP:0025337
rabeprazole,CHEBI:8768,multiple endocrine neoplasia,DOID:3125
olaparib,CHEBI:83766,peritoneum cancer,MONDO:0002087
ofloxacin,CHEBI:194135,Acute bacterial sinusitis,UMLS:C0275556
omacetaxine mepesuccinate,CHEBI:71019,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO:0011996
diiodohydroxyquinoline,CHEBI:5950,amebiasis,MONDO:0005644
fluphenazine,CHEBI:5123,psychotic disorder,MONDO:0005485
riboflavin,CHEBI:17015,Mineral deficiency,UMLS:C0687148
