,drug_name,drug_id,disease_name,disease_id
86,aspirin,CHEBI:15365,myocardial infarction,MONDO:0005068
87,methylprednisolone,CHEBI:6888,dermatitis herpetiformis,MONDO:0015614
88,minocycline,CHEBI:50694,Acute gonococcal urethritis,UMLS:C0275652
89,cefapirin,CHEBI:554446,bacterial endocarditis,MONDO:0006669
90,desvenlafaxine,CHEBI:83527,major depressive disorder,MONDO:0002009
91,adenosine 5'-monophosphate,CHEBI:16027,Paroxysmal supraventricular tachycardia,HP:0004763
92,mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009
93,enoxacin,CHEBI:157175,Gonorrhea of pharynx,UMLS:C0149966
94,magnesium citrate,PUBCHEM.COMPOUND:6099959,osteoporosis,MONDO:0005298
95,levonorgestrel,CHEBI:6443,Menorrhagia,HP:0000132
96,amoxicillin,CHEBI:2676,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
97,imatinib,CHEBI:45783,systemic mastocytosis,MONDO:0016586
98,amikacin,CHEBI:2637,Diverticulitis of gastrointestinal tract,UMLS:C0349774
99,codeine,CHEBI:16714,Pain,HP:0012531
100,felbinac,CHEBI:31597,osteoarthritis,MONDO:0005178
101,garenoxacin,CHEBI:131716,bacterial pneumonia,MONDO:0004652
102,promazine,CHEBI:8459,angioedema,MONDO:0010481
103,teriflunomide,CHEBI:68540,multiple sclerosis,MONDO:0005301
104,paclitaxel,CHEBI:45863,peritoneum cancer,MONDO:0002087
105,oxytetracycline,CHEBI:133011,pneumonia,MONDO:0005249
106,PGE1,CHEBI:15544,Pulmonary valve atresia,HP:0010882
107,methylprednisolone,CHEBI:6888,rheumatic heart disease,MONDO:0006955
108,levamisole,CHEBI:6432,ancylostomiasis,MONDO:0005645
109,dexbrompheniramine,CHEBI:59269,Flu-Like Symptoms,NCIT:C78302
110,estradiol valerate,CHEBI:16469,Female hypogonadism,HP:0000134
111,pramocaine,CHEBI:8357,Itching of ear,UMLS:C0849907
112,temozolomide,CHEBI:72564,malignant glioma,MONDO:0100342
113,aciclovir,CHEBI:2453,Recurrent genital herpes,HP:0032157
114,cetirizine,CHEBI:3561,chronic idiopathic urticaria,MONDO:0044212
115,methapyrilene,CHEBI:6820,urticaria,MONDO:0005492
116,sofosbuvir,CHEBI:85083,chronic hepatitis C virus infection,MONDO:0005354
117,camostat,CHEBI:135632,Gastro-esophageal reflux disease with esophagitis,UMLS:C0677659
118,salicylic acid,CHEBI:16914,acne,MONDO:0011438
119,amphotericin B,CHEBI:2682,Rocky mountain spotted fever,MONDO:0019359
120,hydralazine,CHEBI:5775,congestive heart failure,MONDO:0005009
121,ceftriaxone,CHEBI:29007,Klebsiella cystitis,UMLS:C0520775
122,nicotinamide,CHEBI:17154,acne,MONDO:0011438
123,ergometrine,CHEBI:4822,Post-partum hemorrhage,HP:0011891
124,trimethoprim,CHEBI:45924,Haemophilus influenzae otitis media,UMLS:C0276027
125,probenecid,CHEBI:8426,Chronic gouty arthritis,UMLS:C0268108
126,carbinoxamine,CHEBI:3398,atopic conjunctivitis,MONDO:0005642
127,fluoxetine,CHEBI:5118,panic disorder,MONDO:0005383
128,oxymetazoline,CHEBI:7862,Persistent erythema of skin,UMLS:C1720538
129,tetracycline,CHEBI:27902,acute gonococcal cervicitis,MONDO:0001080
130,betamethasone,CHEBI:3077,Laryngeal edema,HP:0012027
131,lovastatin,CHEBI:40303,hypertriglyceridemia,MONDO:0005347
132,cabozantinib,CHEBI:72317,medullary thyroid gland carcinoma,MONDO:0015277
133,cefadroxil,CHEBI:3479,tonsillitis,MONDO:0001039
134,roflumilast,CHEBI:47657,Chronic small plaque psoriasis,UMLS:C0406317
135,amphotericin B,CHEBI:2682,syphilis,MONDO:0005976
136,glycine,CHEBI:15428,Rhinorrhea,HP:0031417
137,metronidazole,CHEBI:6909,Abdominal Abscess,UMLS:C0243001
138,ergocalciferol,CHEBI:28934,hypoparathyroidism,MONDO:0001220
139,piperacillin,CHEBI:8232,gonorrhea,MONDO:0004277
140,tofacitinib,CHEBI:71200,"Juvenile idiopathic arthritis, extended oligoarthritis",UMLS:C1444843
141,thalidomide,CHEBI:74947,plasma cell myeloma,MONDO:0009693
142,tadalafil,CHEBI:71940,pulmonary arterial hypertension,MONDO:0015924
143,oxacillin,CHEBI:7809,Sepsis caused by Staphylococcus aureus,UMLS:C2887088
144,cortisol,CHEBI:5783,Pruritus Ani,UMLS:C0033775
145,trifluridine,CHEBI:75179,gastric cancer,MONDO:0001056
146,amikacin,CHEBI:2637,pneumonia caused by gram negative bacteria,MONDO:0041850
147,emedastine,CHEBI:4779,urticaria,MONDO:0005492
148,baricitinib,CHEBI:95341,"dermatitis, atopic",MONDO:0011292
149,carvedilol,CHEBI:3441,hypertensive disorder,MONDO:0005044
150,ticarcillin,CHEBI:9587,salpingitis,MONDO:0003619
