,drug_name,drug_id,disease_name,disease_id
1102,barbital,CHEBI:31252,insomnia,MONDO:0013600
1103,linezolid,CHEBI:63607,streptococcal pneumonia,MONDO:0005972
1104,glipizide,CHEBI:5384,type 2 diabetes mellitus,MONDO:0005148
1105,ampicillin,CHEBI:28971,Staphylococcal endocarditis,UMLS:C0520767
1106,dicloxacillin,CHEBI:4511,Acute bacterial sinusitis,UMLS:C0275556
1107,doxazosin,CHEBI:4708,benign prostatic hyperplasia,MONDO:0010811
1108,ofloxacin,CHEBI:194135,anthrax infection,MONDO:0005119
1109,cefotaxime,CHEBI:94427,peritonitis,MONDO:0004522
1110,diazepam,CHEBI:49575,Spasticity,HP:0001257
1111,cyclacillin,CHEBI:31444,bacterial urinary tract infection,MONDO:0005247
1112,alclofenac,CHEBI:31183,rheumatoid arthritis,MONDO:0008383
1113,cortisol,CHEBI:5783,serum sickness,MONDO:0043789
1114,ivosidenib,CHEBI:145430,acute myeloid leukemia,MONDO:0018874
1115,cyclacillin,CHEBI:31444,bronchitis,MONDO:0003781
1116,ceftaroline fosamil,CHEBI:70718,Haemophilus influenzae pneumonia,UMLS:C0276026
1117,lithium citrate,CHEBI:16947,manic bipolar affective disorder,MONDO:0024612
1118,cortisol,CHEBI:5783,multiple sclerosis,MONDO:0005301
1119,cephalexin,CHEBI:3534,Acute otitis media,HP:0000371
1120,gemfibrozil,CHEBI:5296,hypertriglyceridemia,MONDO:0005347
1121,chlorpheniramine,CHEBI:52010,familial dermatographia,MONDO:0007448
1122,clocortolone pivalate,CHEBI:59582,Chronic small plaque psoriasis,UMLS:C0406317
1123,sodium thiosulfate,CHEBI:16094,cyanide poisoning,MONDO:0018754
1124,ofloxacin,CHEBI:194135,shigellosis,MONDO:0019345
1125,promazine,CHEBI:8459,acute intermittent porphyria,MONDO:0008294
1126,eribulin,CHEBI:63587,liposarcoma,MONDO:0005060
1127,diltiazem,CHEBI:101278,Paroxysmal supraventricular tachycardia,HP:0004763
1128,vancomycin,CHEBI:28001,Staphylococcal enterocolitis,UMLS:C0038157
1129,cefotetan,PUBCHEM.COMPOUND:53024,Bacterial urinary infection,UMLS:C0729524
1130,mifepristone,CHEBI:50692,pregnancy disorder with abortive outcome,MONDO:0041526
1131,azithromycin,CHEBI:2955,Acute exacerbation of chronic bronchitis,UMLS:C0856695
1132,primidone,CHEBI:8412,focal epilepsy,MONDO:0005384
1133,sulfathiazole,CHEBI:9337,vulvovaginitis,MONDO:0007019
1134,miconazole,CHEBI:6923,tinea corporis,MONDO:0001461
1135,aztreonam,CHEBI:94511,Sepsis due to Pseudomonas,UMLS:C2887096
1136,sulfasalazine,CHEBI:9334,rheumatoid arthritis,MONDO:0008383
1137,cefoxitin,CHEBI:209807,Escherichia coli septicemia,UMLS:C0276088
1138,cefotaxime,CHEBI:94427,Proteus urinary tract infection,UMLS:C0577709
1139,betamethasone,CHEBI:3077,ankylosing spondylitis,MONDO:0005306
1140,pramocaine,CHEBI:8357,otitis externa,MONDO:0004795
1141,piperacillin,CHEBI:8232,Female genital tract infection,UMLS:C1263758
1142,clarithromycin,CHEBI:3732,Haemophilus influenzae pneumonia,UMLS:C0276026
1143,nicorandil,CHEBI:31905,Angina pectoris,HP:0001681
1144,allantoin,CHEBI:15676,pityriasis simplex,MONDO:0024343
1145,ciprofloxacin,CHEBI:100241,Proteus urinary tract infection,UMLS:C0577709
1146,perazine,CHEBI:59118,Vomiting,HP:0002013
1147,dextromethorphan,CHEBI:4470,Cough,HP:0012735
1148,desonide,CHEBI:204734,asthma,MONDO:0004979
1149,hydroxocobalamin,PUBCHEM.COMPOUND:184933,folic acid deficiency anemia,MONDO:0001860
1150,doxycycline,PUBCHEM.COMPOUND:54671203,relapsing fever,MONDO:0019633
1151,haloperidol,CHEBI:5613,psychotic disorder,MONDO:0005485
1152,procarbazine,CHEBI:71417,classic Hodgkin lymphoma,MONDO:0009348
1153,methylprednisolone,CHEBI:6888,eye disorder,MONDO:0005328
1154,acemetacin,CHEBI:31162,rheumatic disorder,MONDO:0005554
1155,mepyramine,CHEBI:6762,Nasal congestion,HP:0001742
1156,cyclophosphamide,CHEBI:4027,B-cell chronic lymphocytic leukemia,MONDO:0004948
1157,rivaroxaban,CHEBI:68579,peripheral vascular disease,MONDO:0005294
1158,tetracycline,CHEBI:27902,stomatitis,MONDO:0004842
1159,doxapram,CHEBI:681848,Hypoventilation,HP:0002791
1160,fluticasone,CHEBI:5134,asthma,MONDO:0004979
1161,doxycycline,PUBCHEM.COMPOUND:54671203,Mycoplasma pneumoniae pneumonia,MONDO:0005867
1162,propranolol,CHEBI:8499,hemangioma,MONDO:0006500
1163,citric acid,CHEBI:30769,Rhinorrhea,HP:0031417
1164,diltiazem,CHEBI:101278,Angina pectoris,HP:0001681
1165,ephedrine,CHEBI:15407,common cold,MONDO:0005709
1166,demeclocycline,UNII:5R5W9ICI6O,yaws,MONDO:0006019
1167,promethazine,CHEBI:8461,seasonal allergic rhinitis,MONDO:0005324
1168,miconazole,CHEBI:6923,dermatophytosis of groin and perianal area,MONDO:0001405
1169,buprenorphine,CHEBI:3216,Chronic pain,HP:0012532
1170,ketoprofen,CHEBI:6128,Pain,HP:0012531
1171,cephalexin,CHEBI:3534,Group A Streptococcal Infections,UMLS:C0554628
1172,benzquinamide,CHEBI:27662,Postoperative Nausea and Vomiting,UMLS:C0520909
1173,salicylic acid,CHEBI:16914,osteoarthritis,MONDO:0005178
1174,diflorasone diacetate,CHEBI:31483,"dermatitis, atopic",MONDO:0011292
1175,baclofen,CHEBI:187893,Muscle spasticity of spinal origin,UMLS:C1562430
1176,prednisolone,CHEBI:8378,corneal ulcer,MONDO:0004577
1177,zinc acetate,PUBCHEM.COMPOUND:11192,proctitis,MONDO:0005538
1178,sulfamethizole,CHEBI:9331,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
1179,zaleplon,CHEBI:10102,Sleep onset insomnia,HP:0031354
1180,clemastine,CHEBI:3738,vasomotor rhinitis,MONDO:0006004
1181,prednisolone,CHEBI:8378,chronic beryllium disease,MONDO:0015274
1182,perphenazine,CHEBI:8028,mixed anxiety and depressive disorder,MONDO:0041086
1183,metolazone,CHEBI:64354,hypertensive disorder,MONDO:0005044
1184,imiquimod,CHEBI:36704,actinic keratosis,MONDO:0005173
1185,aceclofenac,CHEBI:31159,Back pain,HP:0003418
1186,ivermectin,CHEBI:63941,onchocerciasis,MONDO:0017137
1187,cefixime,CHEBI:93248,bacterial urinary tract infection,MONDO:0005247
1188,ezetimibe,CHEBI:49040,Hypercholesterolemia,HP:0003124
1189,cortisol,CHEBI:5783,acquired thrombocytopenia,MONDO:0001198
1190,dihydroergotamine,CHEBI:4562,migraine disorder,MONDO:0005277
1191,naproxen,CHEBI:7476,Pain,HP:0012531
1192,cefaclor,CHEBI:3478,Group A Streptococcal Infections,UMLS:C0554628
1193,dexibuprofen,CHEBI:43415,Pain,HP:0012531
1194,cetirizine,CHEBI:3561,common cold,MONDO:0005709
1195,codeine,CHEBI:16714,Fever,HP:0001945
1196,ciprofloxacin,CHEBI:100241,arthropathy,MONDO:0006816
1197,venetoclax,CHEBI:133021,B-cell chronic lymphocytic leukemia,MONDO:0004948
1198,cyproheptadine,CHEBI:4046,Rhinorrhea,HP:0031417
1199,trandolapril,CHEBI:9649,Left ventricular cardiac dysfunction,UMLS:C1997351
1200,letrozole,CHEBI:6413,Hormone receptor positive malignant neoplasm of breast,UMLS:C1562029
1201,rosuvastatin,CHEBI:38545,Hypercholesterolemia,HP:0003124
1202,prednisolone,CHEBI:8378,adrenogenital syndrome,MONDO:0015898
1203,pregabalin,CHEBI:64356,focal epilepsy,MONDO:0005384
1204,cortisol,CHEBI:5783,erythema multiforme,MONDO:0006545
1205,cinnarizine,CHEBI:31403,Nausea,HP:0002018
1206,ofloxacin,CHEBI:194135,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
1207,triamcinolone,CHEBI:9667,diffuse alopecia areata,MONDO:0000687
1208,ofloxacin,CHEBI:194135,gonorrhea,MONDO:0004277
1209,benzydamine,CHEBI:94563,Pain,HP:0012531
1210,hydroxyzine,CHEBI:5818,Rhinorrhea,HP:0031417
1211,diflorasone diacetate,CHEBI:31483,exanthem,MONDO:0006547
1212,clemastine,CHEBI:3738,Rhinorrhea,HP:0031417
1213,"1,25-dihydroxyvitamin D3",CHEBI:17823,Chronic small plaque psoriasis,UMLS:C0406317
1214,diclofenac,CHEBI:47381,rheumatoid arthritis,MONDO:0008383
1215,hydrochlorothiazide,CHEBI:5778,Edema,HP:0000969
1216,vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009
1217,betamethasone,CHEBI:3077,multiple sclerosis,MONDO:0005301
1218,mitoxantrone,CHEBI:50729,acute myeloid leukemia,MONDO:0018874
1219,ticarcillin,CHEBI:9587,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
1220,cephradine,CHEBI:3547,Infective otitis media,UMLS:C0729586
1221,lomefloxacin,CHEBI:116278,bronchitis,MONDO:0003781
1222,prednisolone,CHEBI:8378,asthma,MONDO:0004979
1223,trovafloxacin,CHEBI:9763,Pneumonia caused by Escherichia coli,UMLS:C0276089
1224,cefaclor,CHEBI:3478,tonsillitis,MONDO:0001039
1225,trimetaphan,CHEBI:9728,pulmonary edema,MONDO:0006932
1226,trichlormethiazide,CHEBI:9683,hypertensive disorder,MONDO:0005044
1227,clavulanic acid,CHEBI:48947,Osteomyelitis caused by Staphylococcus aureus,UMLS:C1997728
1228,thalidomide,CHEBI:74947,Erythema nodosum leprosum,UMLS:C0343467
1229,tinidazole,CHEBI:63627,bacterial vaginosis,MONDO:0005316
1230,nafcillin,CHEBI:7447,Staphylococcal endocarditis,UMLS:C0520767
1231,sulfogaiacol,CHEBI:85537,Cough,HP:0012735
1232,prednisolone,CHEBI:8378,Post traumatic osteoarthritis,UMLS:C2894027
1233,mezlocillin,CHEBI:6919,Pneumonia caused by Pseudomonas,UMLS:C0155860
1234,pyrimethamine,CHEBI:8673,malaria,MONDO:0005136
1235,citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009
1236,dopamine,CHEBI:18243,Decompensated cardiac failure,UMLS:C0581377
1237,zinc acetate,PUBCHEM.COMPOUND:11192,Itching of ear,UMLS:C0849907
1238,ivabradine,CHEBI:85966,congestive heart failure,MONDO:0005009
1239,bacitracin A,CHEBI:28669,keratitis,MONDO:0003085
1240,demeclocycline,UNII:5R5W9ICI6O,Acute bacterial sinusitis,UMLS:C0275556
1241,clarithromycin,CHEBI:3732,Bacterial otitis media,UMLS:C1698510
1242,rosuvastatin,CHEBI:38545,arteriosclerosis disorder,MONDO:0002277
1243,piperacillin,CHEBI:8232,Septicemia due to enterococcus,UMLS:C0588233
1244,bupivacaine,CHEBI:3215,Pruritus,HP:0000989
1245,clonazepam,CHEBI:3756,early myoclonic encephalopathy,MONDO:0016022
1246,allantoin,CHEBI:15676,Skin Irritation,NCIT:C50743
1247,ospemifene,CHEBI:73275,psychologic dyspareunia,MONDO:0001196
1248,carteolol,CHEBI:3437,open-angle glaucoma,MONDO:0005338
1249,methdilazine,CHEBI:6823,angioedema,MONDO:0010481
1250,desloratadine,CHEBI:291342,atopic conjunctivitis,MONDO:0005642
1251,famotidine,CHEBI:4975,gastric ulcer,MONDO:0001126
1252,alclometasone dipropionate,CHEBI:31184,seborrheic dermatitis,MONDO:0006608
1253,torsemide,CHEBI:9637,hypertensive disorder,MONDO:0005044
1254,brompheniramine,CHEBI:3183,Flu-Like Symptoms,NCIT:C78302
1255,prednisolone,CHEBI:8378,allergic rhinitis,MONDO:0011786
1256,hydrocodone,CHEBI:5779,Rhinorrhea,HP:0031417
1257,benzoic acid,CHEBI:30746,scleroderma,MONDO:0019340
1258,doxylamine,CHEBI:51380,common cold,MONDO:0005709
1259,trovafloxacin,CHEBI:9763,endomyometritis,MONDO:0042451
1260,betamethasone,CHEBI:3077,gout,MONDO:0005393
1261,medroxyprogesterone,CHEBI:6715,Secondary amenorrhea,HP:0000869
1262,cefuroxime,CHEBI:3515,Acute gonococcal urethritis,UMLS:C0275652
1263,ertapenem,CHEBI:404903,Abdominal Infection,UMLS:C1112209
1264,dihydrotachysterol,CHEBI:4591,hypophosphatemia,MONDO:0000313
1265,triamcinolone,CHEBI:9667,acute lymphoblastic leukemia,MONDO:0004967
1266,magnesium sulfate,PUBCHEM.COMPOUND:24083,Hypomagnesemia,HP:0002917
1267,prednisolone,CHEBI:8378,hypersensitivity pneumonitis,MONDO:0017853
1268,demeclocycline,UNII:5R5W9ICI6O,brucellosis,MONDO:0005683
1269,citric acid,CHEBI:30769,gastroesophageal reflux disease,MONDO:0007186
1270,metacycline,CHEBI:6805,Bacterial enteritis,UMLS:C0152516
1271,norfloxacin,CHEBI:100246,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
1272,vinblastine,CHEBI:27375,letterer-Siwe disease,MONDO:0009519
1273,olanzapine,CHEBI:7735,schizophrenia,MONDO:0005090
1274,ciclopirox,CHEBI:453011,cutaneous candidiasis,MONDO:0000879
1275,ibuprofen,CHEBI:5855,Fever,HP:0001945
1276,dextromethorphan,CHEBI:4470,headache disorder,MONDO:0021146
1277,beclometasone,CHEBI:3001,nasal cavity polyp,MONDO:0006314
1278,trimethobenzamide,CHEBI:27796,Nausea,HP:0002018
1279,prednisolone,CHEBI:8378,idiopathic acute eosinophilic pneumonia,MONDO:0019122
1280,simvastatin,CHEBI:9150,"hyperlipidemia, familial combined, LPL related",MONDO:0007759
1281,ampicillin,CHEBI:28971,streptococcal pneumonia,MONDO:0005972
1282,cefamandole,CHEBI:3480,Osteomyelitis caused by Staphylococcus aureus,UMLS:C1997728
1283,fexofenadine,CHEBI:5050,chronic idiopathic urticaria,MONDO:0044212
1284,tretinoin,CHEBI:15367,Melasma,HP:0025272
1285,moxifloxacin,CHEBI:63611,staphylococcal pneumonia,MONDO:0005970
1286,caffeine,CHEBI:27732,Back pain,HP:0003418
1287,ceftriaxone,CHEBI:29007,bacterial arthritis,MONDO:0004471
1288,sulindac,CHEBI:9352,osteoarthritis,MONDO:0005178
1289,cefotaxime,CHEBI:94427,Proteus pneumonia,UMLS:C1260917
1290,sulfanilamide,CHEBI:45373,vulvovaginitis,MONDO:0007019
1291,macitentan,CHEBI:76607,pulmonary arterial hypertension,MONDO:0015924
1292,norfloxacin,CHEBI:100246,Haemophilus influenzae pneumonia,UMLS:C0276026
1293,benzalkonium,CHEBI:135611,otitis externa,MONDO:0004795
1294,methylprednisolone,CHEBI:6888,brain edema,MONDO:0006684
1295,pantoprazole,CHEBI:7915,gastroesophageal reflux disease,MONDO:0007186
1296,esomeprazole,CHEBI:50275,peptic ulcer disease,MONDO:0004247
1297,fluvastatin,CHEBI:38561,Hypercholesterolemia,HP:0003124
1298,imipenem,CHEBI:471744,Pseudomonas aeruginosa infectious disease,MONDO:0040732
1299,nafcillin,CHEBI:7447,Osteomyelitis caused by Staphylococcus aureus,UMLS:C1997728
1300,clocortolone pivalate,CHEBI:59582,granuloma annulare,MONDO:0006554
1301,fenofibrate,CHEBI:5001,Familial hypercholesterolemia - heterozygous,UMLS:C0342882
1302,betamethasone,CHEBI:3077,erythema multiforme,MONDO:0006545
1303,quizartinib,CHEBI:90217,Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation,UMLS:C4543165
1304,indomethacin,CHEBI:49662,patent ductus arteriosus,MONDO:0011827
1305,cortisol,CHEBI:5783,trichinellosis,MONDO:0019444
1306,dexbrompheniramine,CHEBI:59269,allergic rhinitis,MONDO:0011786
1307,nizatidine,CHEBI:7601,peptic ulcer disease,MONDO:0004247
1308,ceftizoxime,CHEBI:553473,escherichia coli infection,MONDO:0020920
1309,perfluorohexyloctane,CHEBI:229658,dry eye syndrome,MONDO:0006733
1310,desonide,CHEBI:204734,Crohn disease,MONDO:0005011
1311,nicotinamide,CHEBI:17154,pellagra,MONDO:0019975
1312,nitroglycerin,CHEBI:28787,Left ventricular cardiac dysfunction,UMLS:C1997351
1313,miconazole,CHEBI:6923,Diaper Rash,UMLS:C0011974
1314,methyltestosterone,CHEBI:27436,Hormone receptor positive malignant neoplasm of breast,UMLS:C1562029
1315,bimatoprost,CHEBI:51230,ocular hypertension,MONDO:0006875
1316,rizatriptan,CHEBI:48273,migraine disorder,MONDO:0005277
1317,algeldrate,PUBCHEM.COMPOUND:10176082,duodenal ulcer,MONDO:0005412
1318,oritavancin,CHEBI:82699,cellulitis,MONDO:0005230
1319,progesterone,CHEBI:17026,postmenopausal atrophic vaginitis,MONDO:0001410
1320,capsaicin,CHEBI:3374,neuralgia,MONDO:0021667
1321,emedastine,CHEBI:4779,atopic conjunctivitis,MONDO:0005642
1322,methicillin,CHEBI:6827,sinusitis,MONDO:0005961
1323,imipenem,CHEBI:471744,Pneumonia caused by Escherichia coli,UMLS:C0276089
1324,cephradine,CHEBI:3547,Group A Streptococcal Infections,UMLS:C0554628
1325,salbutamol,CHEBI:2549,bronchial disorder,MONDO:0001358
1326,flecainide,CHEBI:75984,Paroxysmal atrial flutter,UMLS:C0741292
1327,pyrantel,CHEBI:8654,ascariasis,MONDO:0005654
1328,ibrutinib,CHEBI:76612,Waldenstrom macroglobulinemia,MONDO:0100280
1329,proglumetacin,CHEBI:76263,arthritic joint disease,MONDO:0005578
1330,ergocalciferol,CHEBI:28934,rickets,MONDO:0005520
1331,orciprenaline,CHEBI:6792,pulmonary emphysema,MONDO:0004849
1332,progesterone,CHEBI:17026,Metastatic malignant neoplasm to kidney,UMLS:C0153685
1333,modafinil,CHEBI:31859,narcolepsy,MONDO:0021107
1334,carteolol,CHEBI:3437,hypertensive disorder,MONDO:0005044
1335,methenamine,CHEBI:6824,bacterial urinary tract infection,MONDO:0005247
1336,ixabepilone,CHEBI:63605,breast carcinoma,MONDO:0004989
1337,benzalkonium,CHEBI:135611,Skin Irritation,NCIT:C50743
1338,toloxatone,CHEBI:134870,depressive disorder,MONDO:0002050
1339,prednisone,CHEBI:8382,multiple sclerosis,MONDO:0005301
1340,norfloxacin,CHEBI:100246,Abdominal Infection,UMLS:C1112209
1341,amoxicillin,CHEBI:2676,Helicobacter pylori infection,HP:0005202
1342,lansoprazole,CHEBI:6375,gastric ulcer,MONDO:0001126
1343,magnesium citrate,PUBCHEM.COMPOUND:6099959,Hypocalcemia,HP:0002901
1344,ciprofloxacin,CHEBI:100241,Recurrent lower respiratory tract infections,HP:0002783
1345,(-)-menthol,CHEBI:15409,pityriasis simplex,MONDO:0024343
1346,gatifloxacin,CHEBI:5280,pneumonia caused by chlamydia,MONDO:0025598
1347,carphenazine,CHEBI:51235,Chronic schizophrenia,UMLS:C0221765
1348,cefotetan,PUBCHEM.COMPOUND:53024,Proteus urinary tract infection,UMLS:C0577709
1349,ceftizoxime,CHEBI:553473,Gonorrhea of rectum,UMLS:C0275665
1350,tigecycline,UNII:70JE2N95KR,Complicated appendicitis,UMLS:C1632842
1351,phenylephrine,CHEBI:8093,Flu-Like Symptoms,NCIT:C78302
1352,pralidoxime,CHEBI:8354,Poisoning of animals with phosphate salts,UMLS:C0274968
1353,cefadroxil,CHEBI:3479,Group A Streptococcal Infections,UMLS:C0554628
1354,cefotetan,PUBCHEM.COMPOUND:53024,acute gonococcal endometritis,MONDO:0004264
1355,tazobactam,CHEBI:9421,Bacterial cystitis,UMLS:C0742964
1356,piperacillin,CHEBI:8232,acute gonococcal endometritis,MONDO:0004264
1357,oxaliplatin,PUBCHEM.COMPOUND:9887054,small intestine cancer,MONDO:0000956
1358,cefpodoxime,CHEBI:3504,Haemophilus influenzae otitis media,UMLS:C0276027
1359,amoxicillin,CHEBI:2676,Group A Streptococcal Infections,UMLS:C0554628
1360,riociguat,CHEBI:76018,pulmonary arterial hypertension,MONDO:0015924
1361,ofloxacin,CHEBI:194135,cystitis,MONDO:0006032
1362,caffeine,CHEBI:27732,Pain,HP:0012531
1363,cortisol,CHEBI:5783,granuloma annulare,MONDO:0006554
1364,ciprofloxacin,CHEBI:100241,Acute bacterial peritonitis,UMLS:C0275550
1365,trimethoprim,CHEBI:45924,shigellosis,MONDO:0019345
1366,enalaprilat,CHEBI:4786,Asymptomatic left ventricular systolic dysfunction,UMLS:C3698411
1367,N-methyl scopolamine,CHEBI:135361,allergic rhinitis,MONDO:0011786
1368,cefuroxime,CHEBI:3515,staphylococcal pneumonia,MONDO:0005970
1369,estradiol valerate,CHEBI:16469,atrophic vulva,DOID:14275
1370,cefuroxime,CHEBI:3515,Bacterial urinary infection,UMLS:C0729524
1371,imipenem,CHEBI:471744,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
1372,dexbrompheniramine,CHEBI:59269,seasonal allergic rhinitis,MONDO:0005324
1373,miltefosine,CHEBI:75283,cutaneous leishmaniasis,MONDO:0005446
1374,fluvoxamine,CHEBI:5138,social phobia,MONDO:0001247
1375,busulfan,CHEBI:28901,lymphoma,MONDO:0005062
1376,dextromethorphan,CHEBI:4470,Pseudobulbar affect,UMLS:C2316460
1377,cloxacillin,CHEBI:49566,pharyngitis,MONDO:0002258
1378,triamcinolone,CHEBI:9667,Laryngeal edema,HP:0012027
1379,diphenylpyraline,CHEBI:59788,urticaria,MONDO:0005492
1380,ammonia,CHEBI:16134,pityriasis simplex,MONDO:0024343
1381,loxapine,CHEBI:50841,schizophrenia,MONDO:0005090
1382,sotorasib,CHEBI:178199,non-small cell lung carcinoma,MONDO:0005233
1383,ceftriaxone,CHEBI:29007,Staphylococcal bacteremia,UMLS:C0152965
1384,cortisol,CHEBI:5783,gout,MONDO:0005393
1385,tipranavir,CHEBI:63628,HIV infectious disease,MONDO:0005109
1386,clonazepam,CHEBI:3756,panic disorder,MONDO:0005383
1387,aceclofenac,CHEBI:31159,frozen shoulder,MONDO:0006763
1388,theophylline,CHEBI:28177,bronchial disorder,MONDO:0001358
1389,doxycycline,PUBCHEM.COMPOUND:54671203,acne,MONDO:0011438
1390,trovafloxacin,CHEBI:9763,Acute bacterial sinusitis,UMLS:C0275556
1391,methdilazine,CHEBI:6823,Sneeze,HP:0025095
1392,lapatinib,CHEBI:49603,HER2 positive breast carcinoma,MONDO:0006244
1393,levofloxacin,CHEBI:63598,acute maxillary sinusitis,MONDO:0002186
1394,benoxaprofen,CHEBI:76114,rheumatoid arthritis,MONDO:0008383
1395,codeine,CHEBI:16714,Pharyngalgia,HP:0033050
1396,acemetacin,CHEBI:31162,ankylosing spondylitis,MONDO:0005306
1397,levosimendan,CHEBI:50567,congestive heart failure,MONDO:0005009
1398,phenytoin,CHEBI:8107,Bilateral tonic-clonic seizure,HP:0002069
1399,fluticasone,CHEBI:5134,Lichen Simplex Chronicus,UMLS:C0149922
1400,triamterene,CHEBI:9671,hypertensive disorder,MONDO:0005044
1401,cefepime,CHEBI:478164,staphylococcus aureus infection,MONDO:0005545
1402,methylprednisolone,CHEBI:6888,epicondylitis,MONDO:0001875
1403,cefonicid,CHEBI:3491,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
1404,magnesium hydroxide,PUBCHEM.COMPOUND:73981,Incomplete passage of stool,UMLS:C0426639
1405,doxycycline,PUBCHEM.COMPOUND:54671203,bartonellosis,MONDO:0005664
1406,ceftizoxime,CHEBI:553473,Peptostreptococcus infectious disease,MONDO:0024412
1407,cephalexin,CHEBI:3534,osteomyelitis,MONDO:0005246
1408,cefotaxime,CHEBI:94427,bacterial meningitis,MONDO:0006670
1409,desonide,CHEBI:204734,seborrheic dermatitis,MONDO:0006608
1410,ceftriaxone,CHEBI:29007,Female genital tract infection,UMLS:C1263758
1411,clonidine,CHEBI:3757,open-angle glaucoma,MONDO:0005338
1412,methylprednisolone,CHEBI:6888,Chronic small plaque psoriasis,UMLS:C0406317
1413,hydrocodone,CHEBI:5779,Cough,HP:0012735
1414,cyproheptadine,CHEBI:4046,allergic rhinitis,MONDO:0011786
1415,amphotericin B,CHEBI:2682,Abdominal Infection,UMLS:C1112209
1416,methylprednisolone,CHEBI:6888,inflammatory bowel disease,MONDO:0005265
1417,pyrazinamide,CHEBI:45285,pulmonary tuberculosis,MONDO:0006052
1418,prednisone,CHEBI:8382,inflammatory bowel disease,MONDO:0005265
1419,caffeine,CHEBI:27732,Dysmenorrhea,HP:0100607
1420,hydroxyurea,CHEBI:44423,head and neck cancer,MONDO:0005627
1421,betamethasone,CHEBI:3077,exfoliative dermatitis,MONDO:0043233
1422,secobarbital,CHEBI:9073,epilepsy,MONDO:0005027
1423,indapamide,CHEBI:5893,Edema,HP:0000969
1424,norfloxacin,CHEBI:100246,Pseudomonas aeruginosa infectious disease,MONDO:0040732
1425,dexfenfluramine,CHEBI:439329,obesity disorder,MONDO:0011122
1426,donepezil,CHEBI:145499,Alzheimer disease,MONDO:0004975
1427,tenoxicam,CHEBI:32192,arthritic joint disease,MONDO:0005578
1428,aripiprazole,CHEBI:31236,bipolar disorder,MONDO:0004985
1429,ceftibuten,CHEBI:3510,tonsillitis,MONDO:0001039
1430,hydromorphone,CHEBI:5790,"Postoperative Pain, Acute",UMLS:C2215257
1431,spironolactone,CHEBI:9241,Ascites,HP:0001541
1432,moxifloxacin,CHEBI:63611,Acute bacterial sinusitis,UMLS:C0275556
1433,abiraterone acetate,CHEBI:68639,castration-resistant prostate carcinoma,MONDO:0850353
1434,triamcinolone,CHEBI:9667,juvenile idiopathic arthritis,MONDO:0011429
1435,difenoxin,CHEBI:4534,diarrheal disease,MONDO:0001673
1436,amoxicillin,CHEBI:2676,rhinoscleroma,MONDO:0005945
1437,chlormezanone,CHEBI:3619,anxiety,MONDO:0011918
1438,ofloxacin,CHEBI:194135,pneumonia,MONDO:0005249
1439,cefapirin,CHEBI:554446,Escherichia coli septicemia,UMLS:C0276088
1440,naproxen,CHEBI:7476,ankylosing spondylitis,MONDO:0005306
1441,salsalate,CHEBI:9014,rheumatoid arthritis,MONDO:0008383
1442,guaiacol,CHEBI:28591,rhinitis,MONDO:0003014
1443,adinazolam,CHEBI:251412,anxiety,MONDO:0011918
1444,prednisone,CHEBI:8382,chronic beryllium disease,MONDO:0015274
1445,clofarabine,CHEBI:681569,acute lymphoblastic leukemia,MONDO:0004967
1446,neomycin,CHEBI:7507,Corneal Abrasions,UMLS:C0010032
1447,fluvastatin,CHEBI:38561,Familial hypercholesterolemia - heterozygous,UMLS:C0342882
1448,penciclovir,CHEBI:7956,herpes labialis,MONDO:0043653
1449,cefuroxime,CHEBI:3515,Acute otitis media,HP:0000371
1450,acrivastine,CHEBI:83168,atopic conjunctivitis,MONDO:0005642
1451,perazine,CHEBI:59118,enterobiasis,MONDO:0005746
1452,tirofiban,CHEBI:9605,acute coronary syndrome,MONDO:0005542
1453,fluorometholone,CHEBI:31625,uveitis,MONDO:0020283
1454,amoxicillin,CHEBI:2676,Infective otitis media,UMLS:C0729586
1455,sulindac,CHEBI:9352,rheumatoid arthritis,MONDO:0008383
1456,mesalazine,CHEBI:6775,Chronic ulcerative proctitis,UMLS:C2937222
1457,nifedipine,CHEBI:7565,Angina pectoris,HP:0001681
1458,norfloxacin,CHEBI:100246,Proteus urinary tract infection,UMLS:C0577709
1459,cefuroxime,CHEBI:3515,Klebsiella cystitis,UMLS:C0520775
1460,clemastine,CHEBI:3738,atopic conjunctivitis,MONDO:0005642
1461,guaiacol,CHEBI:28591,Nasal congestion,HP:0001742
1462,paclitaxel,CHEBI:45863,cervical cancer,MONDO:0002974
1463,vincristine,CHEBI:28445,follicular lymphoma,MONDO:0018906
1464,carfilzomib,CHEBI:65347,plasma cell myeloma,MONDO:0009693
1465,nicardipine,CHEBI:180905,Angina pectoris,HP:0001681
1466,carbamazepine,CHEBI:3387,Focal aware seizure,HP:0002349
1467,cefamandole,CHEBI:3480,streptococcal pneumonia,MONDO:0005972
