drug_name,drug_id,disease_name,disease_id
cabozantinib,CHEBI:72317,medullary thyroid gland carcinoma,MONDO:0015277
clotrimazole,CHEBI:3764,oral candidiasis,MONDO:0005886
apixaban,CHEBI:72296,Arterial embolus and thrombosis,UMLS:C0155749
levofloxacin,CHEBI:63598,Acute Moraxella catarrhalis bronchitis,UMLS:C0339932
phenylephrine,CHEBI:8093,Rectal Pain,NCIT:C78587
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009
cortisol,CHEBI:5783,Recurrent oral herpes,HP:0410028
pethidine,CHEBI:6754,Pain,HP:0012531
ranitidine,CHEBI:8776,Zollinger-Ellison syndrome,MONDO:0019610
cefapirin,CHEBI:554446,Klebsiella cystitis,UMLS:C0520775
beclometasone,CHEBI:3001,allergic rhinitis,MONDO:0011786
doxepin,CHEBI:4710,anxiety,MONDO:0011918
amphotericin B,CHEBI:2682,Chlamydia trachomatis infection of genital structure,UMLS:C1997322
citric acid,CHEBI:30769,dyspepsia,MONDO:0002268
dexpanthenol,CHEBI:27373,gastroparesis,MONDO:0006769
bisoprolol,CHEBI:3127,atrial fibrillation,MONDO:0004981
durlobactam,CHEBI:229539,Infection caused by carbapenem resistant Acinetobacter,UMLS:C2959527
mesalazine,CHEBI:6775,ulcerative proctosigmoiditis,MONDO:0007005
sulfacetamide,CHEBI:63845,uveitis,MONDO:0020283
doxylamine,CHEBI:51380,vasomotor rhinitis,MONDO:0006004
"1,25-dihydroxyvitamin D3",CHEBI:17823,Hypocalcemia,HP:0002901
perampanel,CHEBI:71013,focal epilepsy,MONDO:0005384
piperacillin,CHEBI:8232,Pseudomonas aeruginosa infectious disease,MONDO:0040732
tetracycline,CHEBI:27902,stomatitis,MONDO:0004842
meropenem,CHEBI:43968,Complicated appendicitis,UMLS:C1632842
crospovidone,CHEBI:185135,Red eye,HP:0025337
levofolinic acid,CHEBI:63606,megaloblastic anemia,MONDO:0001700
mefenamic acid,CHEBI:6717,Pain,HP:0012531
cefpodoxime,CHEBI:3504,Haemophilus influenzae pneumonia,UMLS:C0276026
doxycycline,PUBCHEM.COMPOUND:54671203,chlamydia infectious disease,MONDO:0021697
cefepime,CHEBI:478164,Bacterial peritonitis,UMLS:C0341503
prednisolone,CHEBI:8378,systemic lupus erythematosus,MONDO:0007915
prednisolone,CHEBI:8378,Bacterial keratitis,UMLS:C0854211
tauroursodeoxycholic acid,CHEBI:80774,amyotrophic lateral sclerosis,MONDO:0004976
gatifloxacin,CHEBI:5280,Mycoplasma pneumoniae pneumonia,MONDO:0005867
loxoprofen,CHEBI:76172,rheumatoid arthritis,MONDO:0008383
"[125I]GnRH I (human, mouse, rat)",CHEBI:5520,amenorrhea,MONDO:0001836
metronidazole,CHEBI:6909,endometritis,MONDO:0000918
trandolapril,CHEBI:9649,hypertensive disorder,MONDO:0005044
naltrexone,CHEBI:7465,Severe pain,UMLS:C0278140
timolol,CHEBI:9599,ocular hypertension,MONDO:0006875
ofloxacin,CHEBI:194135,Acute exacerbation of chronic bronchitis,UMLS:C0856695
